Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4rkVLYy60O29XSgUmVsDso,"Glitter In the Air","Funhouse","P!nk",2008-10-24,227186,0,false,quirky613,2026-06-26T00:00:39Z,"country","LaFace Records",0.545,0.256,5,-12.044,1,0.0277,0.905,0.000239,0.103,0.297,99.993,4
spotify:track:12fPYntS7MBJKdZkF4Juzm,"Get the Party Started","Greatest Hits...So Far!!!","P!nk",2010-11-12,192226,0,false,quirky613,2026-06-26T00:00:39Z,"country","LaFace Records",0.799,0.903,11,-3.366,0,0.0449,0.00106,0,0.166,0.963,128.926,4
spotify:track:7K5dzhGda2vRTaAWYI3hrb,"Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")","Just Like Fire (From the Original Motion Picture ""Alice Through The Looking Glass"")","P!nk",2016-04-15,215413,72,false,quirky613,2026-06-26T00:00:39Z,"country","RCA Records/Walt Disney Records",0.632,0.702,7,-5.92,1,0.148,0.0114,0,0.108,0.523,162.958,4
spotify:track:2Aebl2cIDLjPUvOJPH8xyH,"Just Like a Pill","M!ssundaztood","P!nk",2001-11-16,237040,1,false,quirky613,2026-06-26T00:00:39Z,"country","Arista",0.686,0.782,9,-4.653,1,0.0277,0.000106,0,0.0961,0.247,101.986,4
spotify:track:4bk78jvK8Fe9YHqruOJW0v,"Get the Party Started","M!ssundaztood","P!nk",2001-11-16,191666,5,false,quirky613,2026-06-26T00:00:39Z,"country","Arista",0.806,0.902,11,-3.387,0,0.0475,0.00127,0,0.212,0.961,128.943,4
spotify:track:12lZTPlXwUtrQuhEty6098,"Raise Your Glass","Raise Your Glass","P!nk",2010-10-06,203333,9,true,quirky613,2026-06-26T00:00:39Z,"country","LaFace Records",0.7,0.695,7,-4.973,1,0.0897,0.00629,0,0.0319,0.633,122.028,4
spotify:track:0Zb38EN7sPEyU2q3OQFboe,"Are We All We Are","The Truth About Love","P!nk",2012-09-17,217906,0,true,quirky613,2026-06-26T00:00:39Z,"country","RCA Records Label",0.49,0.93,1,-3.51,0,0.0658,0.000933,0.0000302,0.823,0.527,152.248,4
spotify:track:6LS6pltO7YBgjwNVhxMwtp,"Blow Me","The Truth About Love","P!nk",2012-09-17,255586,0,true,quirky613,2026-06-26T00:00:39Z,"country","RCA Records Label",0.597,0.919,7,-2.954,1,0.044,0.000145,0,0.282,0.73,113.987,4
spotify:track:1qHaLcG3LOeh6ZB8vii5ZZ,"Just Give Me a Reason (feat. Nate Ruess)","The Truth About Love","P!nk;Nate Ruess",2012-09-17,242733,0,false,quirky613,2026-06-26T00:00:39Z,"country","RCA Records Label",0.778,0.547,2,-7.273,1,0.0489,0.346,0.000302,0.132,0.441,95.002,4
spotify:track:35hW18HrovbypDjBg1R2kw,"True Love (feat. Lily Allen)","The Truth About Love","P!nk;Lily Allen",2012-09-17,230733,0,true,quirky613,2026-06-26T00:00:39Z,"country","RCA Records Label",0.457,0.823,9,-4.76,1,0.311,0.00144,0,0.108,0.578,192.205,4
spotify:track:2QZR5SJcd0ScAJHncwz8w0,"Slut Like You","The Truth About Love","P!nk",2012-09-17,221960,0,true,quirky613,2026-06-26T00:00:39Z,"country","RCA Records Label",0.625,0.842,11,-3.606,0,0.0617,0.00218,0,0.0634,0.537,130.035,4
spotify:track:0QVuVKmTRpUJq4MmvodGox,"The Truth About Love","The Truth About Love","P!nk",2012-09-17,228466,0,true,quirky613,2026-06-26T00:00:39Z,"country","RCA Records Label",0.735,0.791,1,-4.481,0,0.0754,0.00228,0.000109,0.133,0.903,131.982,4
