Track URI,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Explicit,Added By,Added At,Genres,Record Label,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
spotify:track:4Zpe9VME8DiFjLdqSqPRoZ,"Close","Close","Nick Jonas;Tove Lo",2016-03-25,234240,0,false,quirky613,2026-06-26T00:20:33Z,"","Universal Music Group",0.625,0.615,6,-5.444,0,0.084,0.249,0,0.14,0.394,124.044,4
spotify:track:3Qi2o8uPKDByu6vFF1iq9d,"Influence","Influence","Tove Lo;Wiz Khalifa",2016-09-09,224507,0,true,quirky613,2026-06-26T00:20:33Z,"soft pop","Polydor",0.766,0.594,5,-9.636,0,0.0511,0.0964,0.000219,0.104,0.35,104.957,4
spotify:track:47zREtxQZ3cHHIZwUQnuuN,"Never Be Like You (feat. Kai)","Skin","Flume;kai",2016-05-27,233337,1,true,quirky613,2026-06-26T00:20:33Z,"east coast hip hop,old school hip hop,hardcore hip hop","Mom & Pop Music",0.564,0.552,0,-5.438,1,0.055,0.439,0,0.163,0.26,119.907,4
spotify:track:62mTZrJqO2EY8YQib2NRta,"Playing for Keeps","Playing for Keeps","Elle King",2012-05-01,217302,0,false,quirky613,2026-06-26T00:20:33Z,"","Fat Possum Records",0.508,0.889,9,-4.774,0,0.109,0.111,0,0.109,0.597,189.945,4
spotify:track:3kxfsdsCpFgN412fpnW85Y,"Redbone","""Awaken, My Love!""","Childish Gambino",2016-12-02,326933,2,true,quirky613,2026-06-26T00:21:35Z,"bedroom pop","Glassnote Entertainment Group LLC",0.745,0.356,1,-10.425,1,0.0941,0.172,0.00943,0.123,0.607,160.033,4
spotify:track:42CeaId2XNlxugDvyqHfDf,"Candy Paint","Candy Paint","Post Malone",2017-10-20,229573,0,true,quirky613,2026-06-26T00:21:35Z,"","Universal Music Group",0.765,0.688,4,-5.566,1,0.0841,0.633,0,0.0734,0.434,90.013,4
spotify:track:3Fld33fuWTUUmVx9BEkyDx,"Stole My Heart","Up All Night","One Direction",2012-05-25,204973,0,false,quirky613,2026-06-26T00:22:05Z,"","Syco Music UK",0.68,0.889,7,-4.335,1,0.039,0.0883,0,0.328,0.626,126.916,4
spotify:track:7brQHA2CgQpcMBiOlfiXYb,"Afraid","I Love You.","The Neighbourhood",2013-04-22,251186,80,true,quirky613,2026-06-26T00:22:40Z,"","Columbia",0.464,0.701,6,-5.693,0,0.0411,0.00892,0.309,0.335,0.356,83.996,4
spotify:track:1rgnBhdG2JDFTbYkYRZAku,"Dance Monkey","Dance Monkey","Tones And I",2019-05-10,209754,62,false,quirky613,2026-06-26T00:23:01Z,"","Sony Music Entertainment",0.826,0.593,6,-6.401,0,0.0976,0.688,0.000161,0.17,0.541,98.083,4
spotify:track:688sW2bGcq1Aiwm7Mf0pwY,"DONTTRUSTME","WANT","3OH!3",2009-01-16,192573,0,true,quirky613,2026-06-26T00:23:01Z,"","Atlantic Records UK",0.791,0.713,5,-3.742,0,0.254,0.0163,0,0.189,0.514,130.012,4
